name,slug,address,location_id,court_count,surface_type,is_free,has_lights,has_restrooms,has_parking,nets_provided,latitude,longitude,description
Sorrento Beach Courts,sorrento-beach-courts-santa-monica,"810 Pacific Coast Hwy, Santa Monica, CA 90403",socal_la,16,sand,true,false,true,true,true,34.0190,-118.5060,"Sixteen sand volleyball courts at Sorrento Beach in Santa Monica. Popular for leagues and casual play with stunning ocean views."
Will Rogers State Beach Courts,will-rogers-state-beach-courts-pacific-palisades,"17700 Pacific Coast Hwy, Pacific Palisades, CA 90272",socal_la,6,sand,true,false,true,true,true,34.0364,-118.5310,"Sand volleyball courts at Will Rogers State Beach with ample parking and beach amenities. Open 8 AM to sunset."
Huntington Beach Pier Courts,huntington-beach-pier-courts-huntington-beach,"Main St & Pacific Coast Hwy, Huntington Beach, CA 92648",socal_oc,19,sand,true,false,true,true,true,33.6553,-118.0050,"Approximately 19 nets near the iconic Huntington Beach Pier. A world-renowned surf and volleyball destination."
Huntington State Beach Courts,huntington-state-beach-courts-huntington-beach,"21601 Pacific Coast Hwy, Huntington Beach, CA 92646",socal_oc,6,sand,true,false,true,true,true,33.6310,-117.9730,"Sand volleyball courts at Huntington State Beach near Newland Street hosting VolleyOC youth tournaments and league play."
Corona del Mar State Beach Courts,corona-del-mar-state-beach-courts-newport-beach,"3001 Ocean Blvd, Corona del Mar, CA 92625",socal_oc,10,sand,true,false,true,true,true,33.5930,-117.8690,"Ten sand volleyball courts at Corona del Mar State Beach known for competitive play especially on the southern courts."
Newport Beach Balboa Pier Courts,newport-beach-balboa-pier-courts-newport-beach,"Adams St & Balboa Blvd, Newport Beach, CA 92663",socal_oc,6,sand,true,false,true,true,true,33.5960,-117.8960,"Sand volleyball courts north of the Balboa Pier along the Balboa Peninsula with nets near fire pits."
Laguna Beach Main Beach Courts,laguna-beach-main-beach-courts-laguna-beach,"Broadway & Coast Hwy, Laguna Beach, CA 92651",socal_oc,4,sand,true,false,true,true,true,33.5427,-117.7856,"Four sand volleyball courts at Main Beach Park. Home of the world's longest-running beach volleyball tournament the Laguna Open."
Seal Beach Volleyball Courts,seal-beach-volleyball-courts-seal-beach,"704 Ocean Ave, Seal Beach, CA 90740",socal_oc,4,sand,true,false,true,true,true,33.7410,-118.1060,"Sand volleyball courts near the Seal Beach Pier on a wide sandy beach with lifeguard towers and playground nearby."
Sacramento Softball Complex Courts,sacramento-softball-complex-courts-sacramento,"3450 Longview Dr, Sacramento, CA 95821",norcal_sac,4,sand,false,true,true,true,true,38.6230,-121.4030,"Four lighted sand volleyball courts at the Sacramento Softball Complex with leagues rentals and events."
Precision Sand Volleyball,precision-sand-volleyball-cameron-park,"2200 Country Club Dr, Cameron Park, CA 95682",norcal_sac,6,sand,false,true,true,true,true,38.6690,-120.9880,"Six outdoor sand courts in the Sacramento foothills offering training tournaments and league play."
Hornet Beach - Sacramento State,hornet-beach-sacramento-state,"6000 J St, Sacramento, CA 95819",norcal_sac,4,sand,false,true,true,true,true,38.5590,-121.4240,"Four-court sand volleyball facility at Sacramento State used for NCAA beach volleyball and community events."
South Mission Beach Volleyball Courts,south-mission-beach-volleyball-courts-san-diego,"2677 Ocean Front Walk, San Diego, CA 92109",socal_sd,14,sand,true,false,true,true,true,32.7590,-117.2530,"Fourteen George Stephanof volleyball courts at South Mission Beach. The epicenter of San Diego beach volleyball."
Ocean Beach Volleyball Courts,ocean-beach-volleyball-courts-san-diego,"5199 Brighton Ave, San Diego, CA 92107",socal_sd,14,sand,true,false,true,true,true,32.7480,-117.2500,"Fourteen public beach volleyball courts at Ocean Beach. Available first-come first-served from 8 AM to sunset."
Moonlight Beach Courts,moonlight-beach-courts-encinitas,"400 B St, Encinitas, CA 92024",socal_sd,3,sand,true,false,true,true,true,33.0460,-117.2970,"Three sand volleyball courts at the north end of Moonlight Beach. Home to an annual Mixed Doubles Tournament since 1964."
Coast Volleyball Club,coast-volleyball-club-san-diego,"11526 Sorrento Valley Rd Suite N, San Diego, CA 92121",socal_sd,3,sand,false,true,true,true,true,32.8980,-117.2190,"Outdoor sand courts at Coast Volleyball Club's Sorrento Valley facility."
Bonita Cove Volleyball Courts,bonita-cove-volleyball-courts-san-diego,"1100 W Mission Bay Dr, San Diego, CA 92109",socal_sd,5,sand,true,false,true,true,true,32.7640,-117.2480,"Five sets of volleyball poles at Bonita Cove east of Belmont Park in Mission Beach."
Ocean Beach (Beach Chalet) Volleyball,ocean-beach-sf-volleyball-courts-san-francisco,"1001 Great Hwy, Stairways 15-17, San Francisco, CA 94121",norcal_sf,,sand,true,false,true,true,false,37.7694,-122.5110,"Informal bring-your-own-net beach volleyball at the north end of Ocean Beach, across from Beach Chalet and the Dutch Windmill. Local groups commonly identify the site by access stairways 15 and 17; the number of set-up courts varies."
Mission Creek Park (Under I-280),mission-creek-park-sand-court-san-francisco,"401 Berry St, San Francisco, CA 94158",norcal_sf,1,sand,true,true,true,false,true,37.7720,-122.3920,"Single public sand court in Mission Bay beneath the I-280 freeway near the Fourth Street bridge. Often described locally as the volleyball court under the bridge or freeway; open 6 AM to 10 PM."
Roberts Regional Recreation Area Sand Court,roberts-regional-recreation-area-sand-court-oakland,"10570 Skyline Blvd, Oakland, CA 94619",norcal_sf,1,sand,false,false,true,true,true,37.812318,-122.174562,"Public first-come sand volleyball court in Roberts Regional Recreation Area in the Oakland hills; a park entrance and parking fee may apply."
Robert W. Crown Memorial State Beach Volleyball Area,crown-memorial-state-beach-volleyball-alameda,"400 Willow St, Alameda, CA 94501",norcal_sf,,sand,true,false,true,true,false,37.7569,-122.2580,"Bring-your-own-net volleyball area on Crown Beach, also known locally as Alameda Beach or Shoreline Drive beach volleyball. The number of playable setups varies."
West Sunset Playground Courts,west-sunset-playground-courts-san-francisco,"3223 Ortega St, San Francisco, CA 94122",norcal_sf,2,sand,true,false,true,false,false,37.7520,-122.4960,"Sand volleyball courts in the large West Sunset Playground park in the Outer Sunset neighborhood."
East Beach Volleyball Courts,east-beach-volleyball-courts-santa-barbara,"E Cabrillo Blvd, Santa Barbara, CA 93103",central_sb,24,sand,true,false,true,true,true,34.4090,-119.6820,"Up to 24 seasonal beach volleyball courts at East Beach; availability varies with events and maintenance."
Goleta Beach Park Courts,goleta-beach-park-courts-goleta,"5986 Sandspit Rd, Goleta, CA 93117",central_sb,3,sand,true,false,true,true,true,34.4130,-119.8290,"Sand volleyball courts at Goleta Beach County Park near UCSB campus with picnic areas and pier access."
UCSB Rec Center Sand Courts,ucsb-rec-center-sand-courts-goleta,"UCSB Recreation Center, Santa Barbara, CA 93106",central_sb,2,sand,false,false,true,true,true,34.4140,-119.8450,"Two sand volleyball courts at UC Santa Barbara available for drop-in play when not reserved."
Santa Cruz Main Beach Courts,santa-cruz-main-beach-courts-santa-cruz,"400 Beach St, Santa Cruz, CA 95060",norcal_sc,16,sand,true,false,true,true,true,36.9640,-122.0230,"Sixteen sand volleyball courts on Main Beach near the Santa Cruz Boardwalk hosting international tournaments."
Harbor Beach Volleyball Courts,harbor-beach-volleyball-courts-santa-cruz,"2222 E Cliff Dr, Santa Cruz, CA 95062",norcal_sc,3,sand,true,false,true,true,true,36.9610,-122.0000,"Sand volleyball courts at Harbor Beach adjacent to the Santa Cruz Harbor. Reservable five days in advance."
Pismo Beach Pier Courts,pismo-beach-pier-courts-pismo-beach,"Wadsworth Ave & Cypress St, Pismo Beach, CA 93449",central_slo,13,sand,true,false,true,true,true,35.1470,-120.6440,"Thirteen sand volleyball courts north of the Pismo Pier. A scenic Central Coast volleyball destination."
Avila Beach Volleyball Courts,avila-beach-volleyball-courts-avila-beach,"3950 Avila Beach Dr, Avila Beach, CA 93424",central_slo,2,sand,true,false,true,true,true,35.1790,-120.7310,"Two sand volleyball courts on the beach north of the Avila Beach Pier."
The Oasis,the-oasis-broomfield,"2400 W Midway Blvd, Broomfield, CO 80020",co_denver,10,indoor_sand,false,true,true,true,true,39.9203,-105.0651,"Premier indoor-outdoor sand volleyball facility with 7 indoor and 3 outdoor courts plus a full restaurant and bar."
The Island,the-island-aurora,"2233 S Geneva St, Aurora, CO 80247",co_denver,18,indoor_sand,false,true,true,true,true,39.6770,-104.8055,"Denver's largest sand volleyball facility with 6 indoor and 12 outdoor courts plus a full bar open year-round."
Parkway Drive Volleyball Courts,lincoln-memorial-sand-courts-washington-dc,"Ohio Dr SW, Washington, DC 20242",dc_metro,11,sand,true,false,false,true,false,38.8895,-77.0502,"Eleven public sand volleyball courts along the Potomac River near the Lincoln Memorial. Reservable through Recreation.gov."
Virginia Volleyball Center,virginia-volleyball-center-sterling,"45685 Oakbrook Ct Ste 140, Sterling, VA 20166",dc_metro,1,indoor_sand,false,true,true,true,true,39.0080,-77.4280,"State-of-the-art 55000 sq ft volleyball facility with one indoor beach court among six hardwood courts."
Brenman Park Sand Courts,brenman-park-alexandria,"4800 Brenman Park Dr, Alexandria, VA 22304",dc_metro,2,sand,true,false,false,true,false,38.8070,-77.1250,"Outdoor sand volleyball courts used by Alexandria Titans Beach Volleyball Club for training May through September."
South Beach Park,south-beach-park-jacksonville-beach,"2514 S Beach Pkwy, Jacksonville Beach, FL 32250",fl_jax,3,sand,true,false,true,true,true,30.2730,-81.3960,"Public park in Jacksonville Beach featuring three sand volleyball courts with a splash pad and playground."
Oceanfront Park,oceanfront-park-jacksonville-beach,"1st St S, Jacksonville Beach, FL 32250",fl_jax,1,sand,true,false,true,true,true,30.2860,-81.3930,"A 2-acre oceanfront park between 5th and 6th Avenues South with a sand volleyball court steps from the ocean."
Jarboe Park,jarboe-park-neptune-beach,"510 Florida Blvd, Neptune Beach, FL 32266",fl_jax,2,sand,true,false,true,true,true,30.3180,-81.4020,"Community park in Neptune Beach with sand volleyball courts and a walking trail."
On Sand Sports,on-sand-sports-jacksonville,"8451 Western Way, Jacksonville, FL 32256",fl_jax,4,sand,false,true,true,true,true,30.2260,-81.5470,"Dedicated beach volleyball training facility in Jacksonville with lighted sand courts."
Game Point Events Center,game-point-events-center-orlando,"6700 Kingspointe Pkwy, Orlando, FL 32819",fl_orlando,6,sand,false,true,true,true,true,28.4590,-81.4560,"State-of-the-art 92000 sq ft facility with 6 outdoor sand volleyball courts plus 12 indoor courts."
Torch Volleyball,torch-volleyball-orlando,"2020 S Dean Rd, Orlando, FL 32825",fl_orlando,4,sand,false,true,false,true,true,28.5230,-81.2830,"Private beach volleyball training facility in East Orlando with four lighted sand courts."
Festival Park,festival-park-orlando,"2911 E Robinson St, Orlando, FL 32803",fl_orlando,2,sand,true,true,true,true,true,28.5530,-81.3490,"City of Orlando public park with two sand volleyball courts. Popular venue for Orlando Club Sport leagues."
UCF Recreation and Wellness Center,ucf-rec-center-orlando,"4000 Central Florida Blvd, Orlando, FL 32816",fl_orlando,6,sand,false,true,true,true,true,28.6020,-81.2000,"University of Central Florida campus with six sand volleyball courts open dawn to 10pm."
Fort Lauderdale Beach Park,fort-lauderdale-beach-park-fort-lauderdale,"1100 Seabreeze Blvd, Fort Lauderdale, FL 33316",fl_east,12,sand,true,true,true,true,true,26.1060,-80.1050,"Premier beach volleyball destination with 12 sand courts right along the water. Hosts AVP pros and local leagues year-round."
Lummus Park,lummus-park-miami-beach,"1130 Ocean Dr, Miami Beach, FL 33139",fl_east,18,sand,true,false,true,true,true,25.7810,-80.1300,"Iconic South Beach park stretching from 5th to 15th Street along Ocean Drive with 18 sand volleyball courts."
Haulover Beach Park,haulover-beach-park-miami,"10800 Collins Ave, Miami Beach, FL 33154",fl_east,8,sand,true,false,true,true,true,25.9020,-80.1230,"County beach park with 8 permanent sand volleyball courts and nets along the shore."
Crandon Park Beach,crandon-park-beach-key-biscayne,"6747 Crandon Blvd, Key Biscayne, FL 33149",fl_east,4,sand,true,false,true,true,true,25.6880,-80.1530,"Beautiful 800-acre barrier island park with beach volleyball courts on pristine sand."
Hollywood Beach Broadwalk,hollywood-beach-broadwalk-hollywood,"300 Connecticut St, Hollywood, FL 33019",fl_east,4,sand,true,false,true,true,true,26.0220,-80.1180,"Beach volleyball courts along the famous Hollywood Broadwalk with nearby restaurants and ocean views."
Pier 60 Park,pier-60-park-clearwater-beach,"1 Causeway Blvd, Clearwater, FL 33767",fl_west,3,sand,true,false,true,true,true,27.9780,-82.8320,"Popular Clearwater Beach spot near Pier 60 with sand volleyball nets and stunning Gulf of Mexico sunsets."
North Shore Park,north-shore-park-st-petersburg,"901 North Shore Dr NE, St. Petersburg, FL 33701",fl_west,6,sand,true,true,true,true,true,27.7830,-82.6250,"Downtown St. Petersburg park with 6 beach volleyball courts where players gather for pickup games nearly every evening."
Woodlawn Park,woodlawn-park-st-petersburg,"5801 22nd Ave N, St. Petersburg, FL 33710",fl_west,6,sand,true,true,true,true,true,27.7930,-82.7060,"Known for deep high-quality sand. Features 6 lighted volleyball courts hosting leagues and recreational play."
Gulfport Beach,gulfport-beach-volleyball-gulfport,"5500 Shore Blvd S, Gulfport, FL 33707",fl_west,6,sand,true,false,true,true,true,27.7390,-82.6930,"Six permanent sand volleyball courts west of the Historic Casino Ballroom on Gulfport Beach."
Piedmont Park,piedmont-park-atlanta,"1320 Monroe Dr NE, Atlanta, GA 30306",ga_atl,2,sand,true,false,true,true,false,33.7879,-84.3727,"Two public sand volleyball courts at the Active Oval in Piedmont Park. Free first-come first-served."
One Beach Volleyball,one-beach-volleyball-atlanta,"3131 Alton Rd, Atlanta, GA 30341",ga_atl,4,sand,false,true,true,true,true,33.8889,-84.2930,"Private sand volleyball facility with well-maintained courts and soft sand. Hosts leagues and open play."
Alpharetta Beach Volleyball,alpharetta-beach-alpharetta,"1720 Old Milton Pkwy, Alpharetta, GA 30009",ga_atl,2,sand,false,true,true,true,true,34.0710,-84.2941,"Two professional beach volleyball courts filled with 500 tons of white sand near downtown Alpharetta."
Rally VB at LakePoint,rally-vb-cartersville,"163 LakePoint Pkwy, Cartersville, GA 30121",ga_atl,10,sand,false,true,true,true,true,34.1891,-84.7998,"Atlanta's largest volleyball facility with 10 outdoor beach sand courts at LakePoint Sports."
Kalama Park,kalama-park-kihei,"1910 S Kihei Rd, Kihei, HI 96753",hi_maui,2,sand,true,false,true,true,true,20.7278,-156.4499,"Two beach volleyball courts at a spacious 36-acre beachfront park where evening pick-up games are a local tradition."
Kamaole Beach Park I,kamaole-i-kihei,"2400 S Kihei Rd, Kihei, HI 96753",hi_maui,1,sand,true,false,true,true,true,20.7221,-156.4481,"Public beach volleyball court on the north side of this popular Kihei beach with lifeguards and parking."
Kanaha Beach Park,kanaha-beach-kahului,"Amala Pl, Kahului, HI 96732",hi_maui,3,sand,true,false,true,true,false,20.9060,-156.4440,"Three sand volleyball courts on Maui's north shore behind Kahului Airport. Bring your own net."
Queen's Beach Waikiki,queens-beach-waikiki,"2699 Kalakaua Ave, Honolulu, HI 96815",hi_oahu,4,sand,true,false,true,true,true,21.2663,-157.8220,"Waikiki's iconic beach volleyball destination with four permanent courts fronting the Honolulu Zoo."
Ala Moana Beach Park,ala-moana-beach-honolulu,"1201 Ala Moana Blvd, Honolulu, HI 96814",hi_oahu,3,sand,true,false,true,true,true,21.2887,-157.8483,"Three sand volleyball courts at the Ewa end of Honolulu's most popular local beach park."
Kailua Beach Park,kailua-beach-kailua,"526 Kawailoa Rd, Kailua, HI 96734",hi_oahu,2,sand,true,false,true,true,false,21.3976,-157.7271,"Sand volleyball courts on Oahu's stunning windward shore known for turquoise waters. Bring your own net."
TVAC Idaho Beach,tvac-idaho-beach-meridian,"1251 E Piper Ct, Meridian, ID 83642",id_boise,4,indoor_sand,false,true,true,true,true,43.6070,-116.3680,"Indoor beach volleyball facility at the Treasure Valley Athletic Center for year-round play."
Ann Morrison Park,ann-morrison-park-boise,"1000 S Americana Blvd, Boise, ID 83706",id_boise,2,sand,true,false,true,true,false,43.6020,-116.2130,"Sand volleyball courts in Boise's scenic 153-acre riverfront park. First-come first-served."
Hobble Creek Park,hobble-creek-park-boise,"6450 N Meadow Park Way, Boise, ID 83713",id_boise,1,sand,true,false,true,true,false,43.6530,-116.2870,"Community park in West Boise with a sand volleyball court alongside picnic shelters and walking paths."
North Avenue Beach,north-avenue-beach-chicago,"1600 N Lake Shore Dr, Chicago, IL 60613",il_chicago,80,sand,true,true,true,true,true,41.9117,-87.6264,"Iconic Chicago lakefront beach with over 80 sand volleyball courts. The largest beach volleyball venue in the Midwest."
Montrose Beach,montrose-beach-chicago,"4400 N Lake Shore Dr, Chicago, IL 60640",il_chicago,22,sand,true,true,true,true,true,41.9639,-87.6383,"Massive lakefront beach in Uptown with rows of sand volleyball courts along Lake Michigan."
Oak Street Beach,oak-street-beach-chicago,"1000 N Lake Shore Dr, Chicago, IL 60611",il_chicago,6,sand,true,true,true,true,true,41.9030,-87.6230,"Intimate Gold Coast beach with sand volleyball courts that has hosted AVP professional tournaments."
Downers Sand Club,downers-sand-club-downers-grove,"1211 Butterfield Rd Ste B, Downers Grove, IL 60515",il_chicago,2,indoor_sand,false,true,true,true,true,41.8322,-88.0154,"Indoor sand volleyball facility in the Chicago suburbs with 2 courts and leagues running Sunday through Thursday."
iBeach31,ibeach31-westfield,"750 E 181st St, Westfield, IN 46074",in_indy,10,sand,false,true,true,true,true,40.0582,-86.1053,"Premier beach volleyball venue near Indianapolis with 6 outdoor and 4 indoor pro-level sand courts."
Indiana Sports Park,indiana-sports-park-indianapolis,"6701 S Harding St, Indianapolis, IN 46217",in_indy,8,sand,false,true,true,true,true,39.6765,-86.1720,"Major multi-sport complex with 8 sand volleyball courts hosting leagues and tournaments."
Sahm Park,sahm-park-indianapolis,"6801 E 91st St, Indianapolis, IN 46250",in_indy,2,sand,true,false,true,true,false,39.9092,-86.0560,"Public park on the northeast side of Indianapolis with 2 free sand volleyball courts."
Volleyball Beach,volleyball-beach-kansas-city,"13105 Holmes Rd, Kansas City, MO 64145",ks_kc,14,sand,false,true,true,true,true,38.8780,-94.5740,"Kansas City's largest sand volleyball complex with 14 outdoor courts and 8 seasonal indoor courts. Features a full bar and grill."
Sandbox KC,sandbox-kc-kansas-city,"509 NW Barry Rd, Kansas City, MO 64155",ks_kc,6,sand,false,true,true,true,true,39.2520,-94.5750,"Northland entertainment complex with 6 sand volleyball courts alongside pickleball and yard games."
Berkley Riverfront Volleyball,berkley-riverfront-kansas-city,"1298 Riverfront Rd, Kansas City, MO 64106",ks_kc,6,sand,true,true,false,true,true,39.1088,-94.5656,"Six illuminated sand volleyball courts on the Kansas City riverfront near the Grand Avenue Viaduct."
Centerline Volleyball,centerline-volleyball-blue-springs,"1910 US-40, Blue Springs, MO 64014",ks_kc,11,sand,false,true,true,true,true,39.0107,-94.2671,"Large volleyball complex east of Kansas City with 11 outdoor sand courts. Hosts youth and adult leagues."
Coconut Beach Sand Volleyball Complex,coconut-beach-kenner,"100 Coconut Beach Ct, Kenner, LA 70065",la_nola,20,sand,false,true,true,true,true,30.0375,-90.2414,"The largest sand volleyball complex in the United States with 20 courts and 100000 sq ft of man-made beach. Full bar and grill on site."
White Sands Volleyball Courts,white-sands-elmwood,"1001 N Al Davis Rd, Elmwood, LA 70123",la_nola,6,sand,false,true,true,true,true,29.9573,-90.1886,"Premier outdoor beach volleyball complex with 6 courts of white sand and adjoining bar and grill."
UNO Privateer Beach,uno-privateer-beach-new-orleans,"6801 Franklin Ave, New Orleans, LA 70122",la_nola,5,sand,false,false,true,true,true,30.0274,-90.0268,"University of New Orleans beach volleyball facility with five permanent sand courts."
Carson Beach,carson-beach-boston,"100 William J Day Blvd, Boston, MA 02127",ne_bos,4,sand,true,false,true,true,false,42.3291,-71.0390,"Public beach volleyball courts on South Boston's waterfront near Joe Moakley Park."
Castle Island,castle-island-boston,"2010 William J Day Blvd, Boston, MA 02127",ne_bos,2,sand,true,false,true,true,false,42.3380,-71.0130,"Sand volleyball courts near Fort Independence at Castle Island with scenic harbor views."
Beach House Boston,beach-house-natick,"18 Tech Circle, Natick, MA 01760",ne_bos,4,indoor_sand,false,true,true,true,true,42.2835,-71.3784,"New England's premier indoor beach volleyball facility with 15000 sq ft of heated sand."
Joust Beach Volleyball,joust-beach-volleyball-norwood,"661 Pleasant St, Norwood, MA 02062",ne_bos,4,indoor_sand,false,true,true,true,true,42.1780,-71.1920,"Indoor and outdoor sand volleyball facility with two indoor and two outdoor courts. Hosts leagues and tournaments year-round."
Easton's Beach,eastons-beach-newport,"175 Memorial Blvd, Newport, RI 02840",ne_ri,3,sand,true,false,true,true,false,41.4877,-71.2918,"Sand volleyball courts at Newport's most popular beach at the start of the Cliff Walk."
Narragansett Town Beach,narragansett-town-beach-narragansett,"39 Boston Neck Rd, Narragansett, RI 02882",ne_ri,3,sand,true,false,true,true,false,41.4305,-71.4535,"Sand volleyball courts on this classic half-mile New England beach in the center of town."
Mulligan's Island,mulligans-island-cranston,"1000 New London Ave, Cranston, RI 02920",ne_ri,2,sand,false,false,true,true,true,41.7430,-71.4820,"Two sand volleyball courts at this golf and entertainment complex. Hosts adult and youth leagues."
Valade Park Volleyball,valade-park-detroit,"2670 Atwater St, Detroit, MI 48207",mi_detroit,1,sand,true,true,true,true,true,42.3430,-82.9710,"Public sand volleyball court on the Detroit Riverfront at Valade Park."
On the Dunes,on-the-dunes-commerce-township,"2055 Haggerty Rd, Commerce Township, MI 48390",mi_detroit,10,sand,false,true,true,true,true,42.5850,-83.4930,"Premier outdoor sand volleyball complex with 10 regulation illuminated courts using imported Michigan Sand Dunes sand."
Belle Isle Sand Volleyball,belle-isle-detroit,"99 Pleasure Dr, Detroit, MI 48207",mi_detroit,4,sand,true,false,true,true,false,42.3460,-82.9670,"Four public sand volleyball courts at Belle Isle's athletic complex."
The Score,the-score-grand-rapids,"5301 Northland Dr NE, Grand Rapids, MI 49525",mi_gr,3,sand,false,true,true,true,true,43.0225,-85.6130,"Popular sports bar and beach volleyball complex with 3 sand courts and lit play. Runs 8 adult leagues six days a week."
Grand Haven State Park Volleyball,grand-haven-state-park-grand-haven,"1001 S Harbor Dr, Grand Haven, MI 49417",mi_gr,18,sand,true,false,true,true,false,43.0515,-86.2540,"Massive beach volleyball park at Grand Haven State Park on Lake Michigan with 18 permanent sand courts."
MSA Woodland Sand Courts,msa-fieldhouse-grand-rapids,"2100 28th St SE, Grand Rapids, MI 49508",mi_gr,3,sand,false,true,true,true,true,42.9130,-85.6160,"Outdoor sand volleyball courts at MSA Woodland; the former Fieldhouse listing was not an indoor-sand venue."
Bde Maka Ska Volleyball Courts,bde-maka-ska-minneapolis,"3700 Thomas Ave S, Minneapolis, MN 55410",mn_minn,3,sand,true,false,true,true,false,44.9470,-93.3150,"Three public sand volleyball courts near Thomas Beach at Bde Maka Ska."
Theodore Wirth Park Volleyball,theodore-wirth-park-minneapolis,"3200 Glenwood Ave, Minneapolis, MN 55405",mn_minn,4,sand,true,true,true,true,false,44.9850,-93.3240,"Four lighted sand volleyball courts at Wirth Lake Beach."
Mama G's,mama-gs-maple-grove,"9705 County Rd 101, Maple Grove, MN 55311",mn_minn,6,sand,false,true,true,true,true,45.0770,-93.4780,"Largest beach sand volleyball facility in the Twin Cities with six courts and two-foot deep soft sand."
